event_id,user_id,event_type,timestamp,signup_date,country,device,variant
89,45,view,2024-02-06 22:02:00,2024-01-11,USA,Desktop,B
90,45,add_to_cart,2024-02-02 14:31:00,2024-01-11,USA,Desktop,B
91,45,purchase,2024-02-06 22:55:00,2024-01-11,USA,Desktop,B
92,46,visit,2024-02-06 14:25:00,2024-01-09,UK,Desktop,A
93,46,view,2024-02-05 16:40:00,2024-01-09,UK,Desktop,A
94,46,add_to_cart,2024-02-03 00:26:00,2024-01-09,UK,Desktop,A
95,47,visit,2024-02-01 06:15:00,2024-01-12,UK,Desktop,A
96,47,view,2024-02-02 03:56:00,2024-01-12,UK,Desktop,A
97,48,visit,2024-02-07 18:05:00,2024-01-25,India,Desktop,B
98,49,visit,2024-02-06 16:25:00,2024-01-24,India,Mobile,B
99,49,view,2024-02-06 00:47:00,2024-01-24,India,Mobile,B
100,49,add_to_cart,2024-02-05 03:57:00,2024-01-24,India,Mobile,B
101,49,purchase,2024-02-04 08:12:00,2024-01-24,India,Mobile,B
102,50,visit,2024-02-07 12:37:00,2024-01-31,USA,Mobile,B
103,51,visit,2024-02-02 19:18:00,2024-01-11,India,Mobile,B
104,51,view,2024-02-01 11:33:00,2024-01-11,India,Mobile,B
105,51,add_to_cart,2024-02-06 09:44:00,2024-01-11,India,Mobile,B
106,52,visit,2024-02-06 20:54:00,2024-01-04,India,Mobile,B
107,53,visit,2024-02-07 21:45:00,2024-01-14,USA,Desktop,B
108,53,view,2024-02-07 14:31:00,2024-01-14,USA,Desktop,B
109,54,visit,2024-02-05 19:14:00,2024-01-03,UK,Mobile,A
110,54,view,2024-02-02 20:15:00,2024-01-03,UK,Mobile,A
111,55,visit,2024-02-05 11:23:00,2024-01-01,UK,Mobile,B
112,55,view,2024-02-04 04:03:00,2024-01-01,UK,Mobile,B
113,55,add_to_cart,2024-02-02 03:44:00,2024-01-01,UK,Mobile,B
114,55,purchase,2024-02-05 17:48:00,2024-01-01,UK,Mobile,B
115,56,visit,2024-02-05 04:41:00,2024-01-25,India,Desktop,A
116,57,visit,2024-02-02 14:58:00,2024-01-11,India,Mobile,A
117,58,visit,2024-02-06 01:52:00,2024-01-11,UK,Mobile,A
118,58,view,2024-02-05 08:03:00,2024-01-11,UK,Mobile,A
119,59,visit,2024-02-05 08:12:00,2024-01-26,UK,Mobile,B
120,59,view,2024-02-02 01:53:00,2024-01-26,UK,Mobile,B
121,59,add_to_cart,2024-02-04 00:57:00,2024-01-26,UK,Mobile,B
122,60,visit,2024-02-04 09:13:00,2024-01-13,India,Desktop,B
123,60,view,2024-02-02 17:07:00,2024-01-13,India,Desktop,B
124,61,visit,2024-02-07 01:26:00,2024-01-23,USA,Mobile,A
125,61,view,2024-02-04 05:33:00,2024-01-23,USA,Mobile,A
126,62,visit,2024-02-01 10:24:00,2024-01-29,UK,Desktop,B
127,62,view,2024-02-01 00:17:00,2024-01-29,UK,Desktop,B
128,62,add_to_cart,2024-02-06 02:26:00,2024-01-29,UK,Desktop,B
129,63,visit,2024-02-03 03:06:00,2024-01-30,UK,Mobile,A
130,64,visit,2024-02-06 16:56:00,2024-01-24,India,Desktop,A
131,64,view,2024-02-04 03:48:00,2024-01-24,India,Desktop,A
132,64,add_to_cart,2024-02-01 15:27:00,2024-01-24,India,Desktop,A
133,64,purchase,2024-02-05 18:26:00,2024-01-24,India,Desktop,A
134,65,visit,2024-02-06 05:11:00,2024-01-17,USA,Desktop,B
135,66,visit,2024-02-07 01:41:00,2024-01-22,UK,Desktop,B
136,67,visit,2024-02-07 19:18:00,2024-01-18,India,Desktop,B
137,67,view,2024-02-06 07:07:00,2024-01-18,India,Desktop,B
138,68,visit,2024-02-04 20:55:00,2024-01-28,India,Desktop,A
139,68,view,2024-02-05 06:23:00,2024-01-28,India,Desktop,A
140,68,add_to_cart,2024-02-05 11:58:00,2024-01-28,India,Desktop,A
141,69,visit,2024-02-04 05:07:00,2024-01-21,India,Mobile,A
142,70,visit,2024-02-02 13:08:00,2024-01-24,India,Desktop,B
143,70,view,2024-02-02 11:05:00,2024-01-24,India,Desktop,B
144,71,visit,2024-02-02 13:57:00,2024-01-20,UK,Desktop,A
145,71,view,2024-02-04 01:44:00,2024-01-20,UK,Desktop,A
146,71,add_to_cart,2024-02-07 02:46:00,2024-01-20,UK,Desktop,A
147,72,visit,2024-02-05 00:23:00,2024-01-26,India,Desktop,B
148,73,visit,2024-02-02 05:09:00,2024-01-23,India,Desktop,A
149,73,view,2024-02-03 10:55:00,2024-01-23,India,Desktop,A
150,74,visit,2024-02-05 05:40:00,2024-01-21,USA,Mobile,A
151,74,view,2024-02-06 02:22:00,2024-01-21,USA,Mobile,A
152,74,add_to_cart,2024-02-03 03:09:00,2024-01-21,USA,Mobile,A
153,74,purchase,2024-02-03 13:13:00,2024-01-21,USA,Mobile,A
154,75,visit,2024-02-07 10:59:00,2024-01-09,USA,Mobile,B
155,75,view,2024-02-03 04:36:00,2024-01-09,USA,Mobile,B
156,76,visit,2024-02-04 13:05:00,2024-01-19,USA,Desktop,A
157,76,view,2024-02-04 09:13:00,2024-01-19,USA,Desktop,A
158,77,visit,2024-02-05 04:28:00,2024-01-22,India,Mobile,B
159,78,visit,2024-02-06 15:47:00,2024-01-02,USA,Mobile,A
160,78,view,2024-02-01 04:49:00,2024-01-02,USA,Mobile,A
161,78,add_to_cart,2024-02-06 07:22:00,2024-01-02,USA,Mobile,A
162,79,visit,2024-02-04 21:15:00,2024-01-16,USA,Mobile,A
163,79,view,2024-02-04 21:03:00,2024-01-16,USA,Mobile,A
164,80,visit,2024-02-03 23:14:00,2024-01-30,UK,Mobile,A
165,81,visit,2024-02-03 13:55:00,2024-01-12,UK,Mobile,B
166,81,view,2024-02-07 10:09:00,2024-01-12,UK,Mobile,B
167,81,add_to_cart,2024-02-04 10:59:00,2024-01-12,UK,Mobile,B
168,82,visit,2024-02-02 23:21:00,2024-01-30,India,Desktop,B
169,82,view,2024-02-02 19:40:00,2024-01-30,India,Desktop,B
170,83,visit,2024-02-06 16:19:00,2024-01-07,USA,Desktop,A
171,83,view,2024-02-02 13:34:00,2024-01-07,USA,Desktop,A
172,83,add_to_cart,2024-02-04 06:10:00,2024-01-07,USA,Desktop,A
173,84,visit,2024-02-06 09:51:00,2024-01-12,USA,Desktop,A
174,84,view,2024-02-05 07:05:00,2024-01-12,USA,Desktop,A
175,84,add_to_cart,2024-02-07 10:46:00,2024-01-12,USA,Desktop,A
176,84,purchase,2024-02-03 14:51:00,2024-01-12,USA,Desktop,A
177,85,visit,2024-02-05 08:07:00,2024-01-05,USA,Mobile,B
178,85,view,2024-02-06 01:21:00,2024-01-05,USA,Mobile,B
179,86,visit,2024-02-07 01:17:00,2024-01-21,USA,Desktop,A
180,87,visit,2024-02-01 15:11:00,2024-01-26,India,Desktop,A
181,88,visit,2024-02-03 18:23:00,2024-01-01,UK,Mobile,A
182,88,view,2024-02-06 23:02:00,2024-01-01,UK,Mobile,A
183,89,visit,2024-02-06 14:37:00,2024-01-08,UK,Mobile,A
184,89,view,2024-02-03 01:57:00,2024-01-08,UK,Mobile,A
185,90,visit,2024-02-05 21:48:00,2024-01-16,USA,Desktop,A
186,91,visit,2024-02-04 20:01:00,2024-01-23,UK,Desktop,B
187,92,visit,2024-02-01 08:24:00,2024-01-20,UK,Mobile,A
188,92,view,2024-02-05 13:49:00,2024-01-20,UK,Mobile,A
189,92,add_to_cart,2024-02-06 22:17:00,2024-01-20,UK,Mobile,A
190,92,purchase,2024-02-03 03:50:00,2024-01-20,UK,Mobile,A
191,93,visit,2024-02-03 20:25:00,2024-01-14,India,Mobile,B
192,93,view,2024-02-05 07:44:00,2024-01-14,India,Mobile,B
193,93,add_to_cart,2024-02-06 00:44:00,2024-01-14,India,Mobile,B
194,94,visit,2024-02-04 05:30:00,2024-01-10,USA,Mobile,A
195,94,view,2024-02-06 08:14:00,2024-01-10,USA,Mobile,A
196,94,add_to_cart,2024-02-03 10:30:00,2024-01-10,USA,Mobile,A
197,94,purchase,2024-02-04 23:22:00,2024-01-10,USA,Mobile,A
198,95,visit,2024-02-03 13:15:00,2024-01-07,India,Desktop,B
199,96,visit,2024-02-03 22:09:00,2024-01-14,India,Desktop,B
200,96,view,2024-02-01 07:07:00,2024-01-14,India,Desktop,B
201,97,visit,2024-02-02 11:37:00,2024-01-13,USA,Desktop,A
202,97,view,2024-02-02 10:35:00,2024-01-13,USA,Desktop,A
203,97,add_to_cart,2024-02-06 05:07:00,2024-01-13,USA,Desktop,A
204,97,purchase,2024-02-02 03:17:00,2024-01-13,USA,Desktop,A
205,98,visit,2024-02-04 01:23:00,2024-01-27,UK,Desktop,B
206,99,visit,2024-02-07 04:08:00,2024-01-13,UK,Mobile,B
207,99,view,2024-02-03 17:45:00,2024-01-13,UK,Mobile,B
208,99,add_to_cart,2024-02-04 19:55:00,2024-01-13,UK,Mobile,B
209,100,visit,2024-02-03 17:07:00,2024-01-05,UK,Desktop,A
210,100,view,2024-02-01 12:45:00,2024-01-05,UK,Desktop,A
